created,month_created,weeknum_created,day_created,id,applicant,job_title,stage_type,reject_reason,rejected_at,hired_at,referring_site
3/2/2023,March,9,Thursday,49793695,Diana  Moore,Treatment Coordinator,Screening,Other reasons,3/30/2023,,Indeed
3/3/2023,March,9,Friday,49883570,Jane  Taylor,Orthodontic Assistant,Screening,Role not a fit,5/3/2023,,Indeed
3/3/2023,March,9,Friday,49885159,John  Wilson,Dental Receptionist,Inbox,Other reasons,3/8/2023,,Unknown
3/3/2023,March,9,Friday,49936946,Bob  Taylor,Orthodontic Assistant,Screening,Scheduling Issues,4/11/2023,,Unknown
3/4/2023,March,9,Saturday,49959950,Alice  Williams,Treatment Coordinator,Inbox,Other reasons,3/6/2023,,Indeed
3/4/2023,March,9,Saturday,49989022,Ethan  Taylor,Treatment Coordinator/Foreign Dentists,Screening,Commute & location,3/9/2023,,Indeed
3/4/2023,March,9,Saturday,49989099,Bob  Williams,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Other reasons,3/9/2023,,Indeed
3/5/2023,March,9,Sunday,50041555,John  Smith,Dental Receptionist,Inbox,Other reasons,3/8/2023,,Indeed
3/6/2023,March,10,Monday,50044596,Ethan  Johnson,Weekend Dental Assistant,Screening,Lacking relevant experience,3/24/2023,,Indeed
3/6/2023,March,10,Monday,50130224,Bob  Jones,Dental Assistant,Interview,Other reasons,4/3/2023,,Google
3/6/2023,March,10,Monday,50130932,Grace  Brown,Dental Receptionist,Screening,Other reasons,3/8/2023,,ZipRecruiter
3/7/2023,March,10,Tuesday,50196303,Ethan  Taylor,Dental Receptionist,Inbox,Other reasons,3/8/2023,,Indeed
3/7/2023,March,10,Tuesday,50234063,Ethan  Wilson,Foreign Trained Dentist for Treatment Plan Supervisor,Hired,,,5/8/2023,Indeed
3/8/2023,March,10,Wednesday,50245273,Charlie  Williams,Orthodontist,Screening,Position Filled,5/30/2023,,Indeed
3/8/2023,March,10,Wednesday,50250649,Diana  Wilson,Orthodontist,Screening,Unresponsive,3/27/2023,,Indeed
3/8/2023,March,10,Wednesday,50303504,Bob  Davis,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Doctor Rejected,5/8/2023,,Indeed
3/8/2023,March,10,Wednesday,50317144,Emma  Johnson,Business Coach,Hired,,,5/16/2023,Indeed
3/8/2023,March,10,Wednesday,50330757,Ethan  Taylor,Orthodontist,Screening,Lacking relevant experience,5/12/2023,,Indeed
3/9/2023,March,10,Thursday,50340169,Emma  Moore,Dental Assistant,Inbox,Other reasons,3/9/2023,,Indeed
3/9/2023,March,10,Thursday,50340431,Emma  Smith,Orthodontist,Offer,Position Filled,5/30/2023,,Indeed
3/9/2023,March,10,Thursday,50346082,Emma  Miller,Treatment Coordinator/Foreign Dentists,Screening,Commute & location,3/9/2023,,ZipRecruiter
3/9/2023,March,10,Thursday,50395064,Grace  Johnson,Foreign Trained Dentist for Treatment Plan Supervisor,Inbox,Other reasons,3/10/2023,,Indeed
3/9/2023,March,10,Thursday,50395161,Charlie  Miller,Treatment Coordinator/Foreign Dentists,Inbox,Commute & location,3/10/2023,,Indeed
3/11/2023,March,10,Saturday,50530477,Emma  Smith,Dental Business Operations Manager,Screening,Lacking relevant experience,3/14/2023,,Indeed
3/12/2023,March,10,Sunday,50560830,Grace  Johnson,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Doctor Rejected,5/8/2023,,Indeed
3/12/2023,March,10,Sunday,50560845,Bob  Williams,Treatment Coordinator/Foreign Dentists,Screening,Doctor Rejected,5/8/2023,,Indeed
3/12/2023,March,10,Sunday,50561457,Bob  Davis,Dental Business Operations Manager,Screening,More qualified candidate selected,3/14/2023,,Indeed
3/12/2023,March,10,Sunday,50561465,Jane  Davis,Dental Patient Relations Manager,Screening,Lacking relevant experience,3/14/2023,,Indeed
3/12/2023,March,10,Sunday,50561477,John  Jones,Dental Billing Coordinator,Screening,More qualified candidate selected,3/14/2023,,Indeed
3/12/2023,March,10,Sunday,50605569,John  Jones,Dental Billing Coordinator,Screening,Lacking relevant experience,3/14/2023,,Indeed
3/13/2023,March,11,Monday,50680349,Emma  Miller,Dental Patient Relations Manager,Interview,Role not a fit,3/20/2023,,Indeed
3/13/2023,March,11,Monday,50709004,Frank  Moore,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Lacking relevant experience,6/2/2023,,Indeed
3/14/2023,March,11,Tuesday,50716005,Alice  Wilson,Dental Assistant,Inbox,More qualified candidate selected,3/24/2023,,Indeed
3/14/2023,March,11,Tuesday,50769651,Grace  Moore,Dental Receptionist,Interview,Other reasons,3/30/2023,,Indeed
3/14/2023,March,11,Tuesday,50774403,John  Williams,Dental Receptionist,Screening,Other reasons,3/30/2023,,Indeed
3/14/2023,March,11,Tuesday,50786458,Emma  Miller,Dental Receptionist,Screening,Other reasons,3/30/2023,,Indeed
3/14/2023,March,11,Tuesday,50794101,John  Jones,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Lacking relevant experience,6/2/2023,,Indeed
3/14/2023,March,11,Tuesday,50796572,John  Taylor,Dental Receptionist,Inbox,More qualified candidate selected,3/22/2023,,Indeed
3/14/2023,March,11,Tuesday,50802521,Ethan  Brown,Dental Patient Relations Manager,Screening,Lacking relevant experience,3/21/2023,,Indeed
3/15/2023,March,11,Wednesday,50816879,Ethan  Williams,Dental Receptionist,Screening,Other reasons,3/30/2023,,Indeed
3/15/2023,March,11,Wednesday,50817591,Jane  Moore,Dental Assistant,Inbox,Lacking relevant experience,3/24/2023,,New Job
